date,Open,High,Low,Close,Value,Volume
2025-11-14,15.38,15.38,15.1,15.12,2614004.0,171973.94736842104
2025-11-17,15.1,15.2,15.06,15.16,1217144.0,80392.60237780712
2025-11-18,15.2,15.44,15.2,15.3,3806962.0,248604.39703961692
2025-11-19,15.38,15.38,15.2,15.22,1499088.0,98193.53711790394
2025-11-20,15.28,15.5,15.24,15.4,3207422.0,208544.9934980494
2025-11-21,15.4,15.9,15.4,15.72,8746858.0,558072.6074011059
2025-11-24,15.76,15.98,15.76,15.9,3121762.0,196584.50881612088
2025-11-25,15.78,16.44,15.78,16.36,7023936.0,433754.79621243314
2025-11-26,16.3,16.44,16.3,16.4,1511778.0,92294.1391941392
2025-11-27,16.4,16.5,16.16,16.5,6639812.0,405196.0130187144
2025-11-28,17.02,17.8,16.64,16.78,33908802.0,1986068.0593518156
2025-12-01,16.9,17.14,16.56,17.02,24325928.0,1438836.4353312303
2025-12-02,17.1,18.2,17.08,18.06,40826976.0,2296230.3712035995
2025-12-03,18.08,18.6,18.02,18.6,38975072.0,2117443.245201014
2025-12-04,18.64,19.22,18.24,18.24,36801724.0,1982139.533213645
2025-12-05,18.24,18.5,18.04,18.5,19898454.0,1084581.4316860465
2025-12-09,18.5,18.78,18.18,18.4,19021742.0,1030802.4927745665
2025-12-10,18.5,18.5,18.06,18.1,8684954.0,476671.4599341382
2025-12-11,18.0,18.1,17.5,17.8,8224038.0,462024.606741573
2025-12-12,17.32,17.74,17.02,17.5,14259552.0,818573.5935706085
2025-12-15,17.5,18.28,17.3,17.98,37475796.0,2099092.3823749064
2025-12-16,17.9,18.0,17.62,17.72,6539192.0,367783.5770528684
2025-12-17,17.7,18.18,17.7,18.0,9650868.0,537353.452115813
2025-12-18,17.8,18.18,17.72,18.08,2397918.0,133267.0248240089
2025-12-19,18.0,18.0,16.8,17.0,57754636.0,3344863.0888030888
2025-12-22,17.02,17.4,17.02,17.38,2176640.0,126060.23166023167
2025-12-23,17.4,17.4,17.26,17.34,2051304.0,118344.46153846155
2025-12-26,17.34,17.5,17.22,17.26,1823130.0,105221.04655636783
2025-12-29,17.3,17.86,17.24,17.74,1637862.0,92989.89401968208
2026-01-02,17.74,18.5,17.6,17.84,19369690.0,1077290.8787541713
2026-01-05,18.18,18.2,17.84,18.0,13190038.0,732237.4907475944
2026-01-06,18.12,18.62,17.94,18.6,43143960.0,2346480.7831762144
2026-01-07,18.62,19.12,18.6,19.04,42984522.0,2271909.1966173365
2026-01-08,19.04,19.04,18.88,18.96,16926102.0,892726.8987341772
2026-01-09,18.8,19.3,18.78,19.04,13702296.0,719658.4033613446
2026-01-12,19.08,19.08,18.82,19.0,9411140.0,496193.6731107206
2026-01-13,19.0,19.1,19.0,19.0,6398358.0,336165.91943957965
2026-01-14,19.0,19.1,18.98,19.0,9923904.0,521578.6965662228
2026-01-15,19.0,19.04,18.8,18.8,9927882.0,525841.2076271187
2026-01-16,18.9,19.6,18.88,19.02,9608334.0,501304.3826086956
2026-01-19,19.52,20.95,19.52,20.8,75123894.0,3678336.57581198
2026-01-20,20.85,21.25,19.72,19.84,76045286.0,3751617.4642328564
2026-01-21,20.45,20.6,19.9,20.05,24807077.0,1229087.2171758877
2026-01-22,20.15,20.15,19.68,19.98,14297743.0,717158.1508109012
2026-01-23,19.96,20.6,19.84,20.5,34755491.0,1710969.363308172
2026-01-26,20.45,20.8,19.9,19.9,60512223.0,2995654.6039603963
2026-01-27,19.9,20.25,19.6,19.6,17828603.0,899677.1909167367
2026-01-28,19.52,19.82,19.2,19.5,12398926.0,635625.051264525
2026-01-29,19.5,20.2,18.84,19.18,14512464.0,747808.1758845758
2026-01-30,19.18,19.2,18.78,18.8,15162998.0,801144.6636139486
2026-02-02,18.9,18.9,18.22,18.3,13278090.0,718770.6604114039
2026-02-03,18.3,18.5,18.24,18.24,5884458.0,321087.1953437614
2026-02-04,18.3,19.2,18.3,18.9,3782394.0,201191.17021276595
2026-02-05,19.0,19.2,18.94,19.1,4385796.0,229863.52201257859
2026-02-06,19.08,19.2,18.82,18.86,9955770.0,525093.3544303798
