date,Open,High,Low,Close,Value,Volume
2025-10-06,1.86,1.93,1.86,1.92,1846110.0,969935.2014010508
2025-10-07,1.92,1.92,1.84,1.84,861820.0,461689.28571428574
2025-10-08,1.86,1.93,1.85,1.88,6988430.0,3704114.8409893992
2025-10-09,1.88,1.93,1.85,1.86,351210.0,186813.82978723402
2025-10-10,1.87,1.93,1.82,1.93,1789580.0,945200.7042253522
2025-10-13,1.93,2.04,1.92,2.04,1970610.0,985305.0
2025-10-14,2.0,2.07,2.0,2.03,1653950.0,813418.0327868853
2025-10-15,2.04,2.12,1.97,2.01,4222540.0,2076659.0163934426
2025-10-16,2.0,2.05,1.95,2.0,2868140.0,1434070.0
2025-10-17,2.0,2.05,1.99,2.0,1493770.0,741938.7417218543
2025-10-20,2.0,2.37,2.0,2.27,12927640.0,5840801.204819277
2025-10-21,2.32,2.34,2.18,2.24,5460280.0,2423201.1834319527
2025-10-22,2.36,2.36,2.23,2.25,2491760.0,1092877.1929824562
2025-10-23,2.24,2.3,2.21,2.22,722650.0,322132.24368499254
2025-10-24,2.24,2.34,2.24,2.3,2877140.0,1254566.8604651163
2025-10-27,2.32,2.33,2.15,2.22,2405680.0,1077170.1492537311
2025-10-28,2.22,2.22,2.1,2.21,352190.0,161802.45022970904
2025-10-29,2.17,2.23,2.12,2.18,187810.0,86283.30781010722
2025-10-30,2.18,2.2,2.05,2.08,1418540.0,672293.8388625593
2025-11-03,2.08,2.18,1.96,1.96,1044340.0,513609.8360655737
2025-11-04,2.04,2.16,1.98,2.15,2386040.0,1138015.8982511922
2025-11-05,2.09,2.17,2.0,2.08,2047160.0,982636.7999999999
2025-11-06,2.08,2.08,2.01,2.03,543980.0,266656.8627450981
2025-11-07,2.03,2.45,1.97,2.4,7837670.0,3447655.4252199414
2025-11-10,2.45,2.77,2.36,2.74,22298840.0,8500193.138500635
2025-11-11,2.75,2.8,2.55,2.76,15903830.0,5883044.389642417
2025-11-12,2.76,2.8,2.65,2.77,5571300.0,2033321.1678832117
2025-11-13,2.8,2.97,2.72,2.83,4461860.0,1571077.4647887326
2025-11-14,2.83,2.92,2.48,2.59,4834400.0,1815168.9612015018
2025-11-17,2.4,2.8,2.4,2.76,3895490.0,1468149.4974874374
2025-11-18,2.76,2.8,2.69,2.79,1956970.0,709047.1014492753
2025-11-19,2.76,2.97,2.76,2.94,13397400.0,4635778.546712803
2025-11-20,2.94,2.95,2.84,2.85,3432010.0,1191670.1388888888
2025-11-21,2.85,2.98,2.75,2.98,5553040.0,1912642.9391504016
2025-11-24,2.98,2.98,2.87,2.91,2652930.0,908537.6712328767
2025-11-25,2.97,3.2,2.83,3.18,8731040.0,2843986.970684039
2025-11-26,3.18,3.6,3.15,3.42,14824910.0,4373129.793510324
2025-11-27,3.42,3.56,3.25,3.49,4086920.0,1190365.0485436893
2025-11-28,3.49,3.68,3.45,3.53,7645450.0,2151627.579737336
2025-12-01,3.53,3.6,3.43,3.46,2973050.0,850252.6215443279
2025-12-02,3.4,3.59,3.31,3.53,2951860.0,849048.8974113135
2025-12-03,3.54,3.65,3.5,3.63,4561640.0,1269473.0983302412
2025-12-04,3.68,3.85,3.5,3.64,11298630.0,3084248.407643312
2025-12-05,3.64,3.75,3.53,3.66,2701240.0,740742.2303473492
2025-12-09,3.66,3.7,3.54,3.64,4124920.0,1137386.0294117646
2025-12-10,3.64,3.64,3.36,3.46,4605550.0,1320903.4416826004
2025-12-11,3.46,3.58,3.42,3.45,4374020.0,1255699.5215311006
2025-12-12,3.4,3.49,3.31,3.39,3810410.0,1121808.6359175663
2025-12-15,3.39,3.47,3.33,3.36,2669850.0,788341.5354330709
2025-12-16,3.35,3.6,3.35,3.45,2066730.0,596172.1153846154
2025-12-17,3.39,3.48,3.39,3.47,584970.0,169720.50290135396
2025-12-18,3.45,3.52,3.45,3.52,1054480.0,301567.2068636797
2025-12-19,3.52,3.59,3.45,3.5,1595830.0,454221.06261859584
2025-12-22,3.5,3.5,3.4,3.48,1854880.0,536092.4855491329
2025-12-23,3.5,3.53,3.38,3.42,1827190.0,530645.6921587609
2025-12-26,3.42,3.65,3.42,3.45,2598560.0,741034.2205323195
2025-12-29,3.65,3.65,3.42,3.47,1076220.0,306324.47817836807
2026-01-02,3.5,3.9,3.31,3.86,4854070.0,1315466.1246612465
2026-01-05,3.9,3.9,3.8,3.86,2007800.0,521055.3633217993
2026-01-06,3.89,4.05,3.89,4.01,6962050.0,1747794.979079498
2026-01-07,4.01,4.1,3.95,4.03,6225760.0,1546132.4503311256
2026-01-08,4.03,4.2,4.03,4.2,9471580.0,2285980.691874497
2026-01-09,4.2,4.25,4.1,4.11,7490850.0,1803575.4414125201
2026-01-12,4.07,4.16,3.92,4.1,5419770.0,1334918.7192118228
2026-01-13,4.12,4.12,3.96,4.03,6477130.0,1604573.9058629235
2026-01-14,4.05,4.16,4.0,4.01,1944940.0,479442.892358258
2026-01-15,4.0,4.18,3.89,3.92,5675590.0,1420080.9007506256
2026-01-16,3.92,3.92,3.77,3.89,6336710.0,1641634.7150259067
2026-01-19,3.82,3.99,3.82,3.94,865830.0,221062.97872340426
2026-01-20,3.95,3.95,3.57,3.86,7357850.0,1939679.2618629176
2026-01-21,3.85,3.85,3.52,3.63,6513000.0,1776272.7272727273
2026-01-22,3.63,3.65,3.44,3.62,12878890.0,3607532.212885154
2026-01-23,3.62,3.65,3.47,3.57,4633580.0,1300349.8596819458
2026-01-26,3.55,3.55,3.38,3.43,6261740.0,1813245.173745174
2026-01-27,3.41,3.44,3.37,3.4,2757650.0,810279.138099902
2026-01-28,3.36,3.4,3.22,3.4,8277580.0,2478317.365269461
2026-01-29,3.4,3.5,3.4,3.44,3315430.0,961923.5976789168
2026-01-30,3.44,3.55,3.4,3.55,4010080.0,1145737.142857143
2026-02-02,3.56,3.56,3.38,3.5,2617080.0,752034.4827586206
2026-02-03,3.54,3.7,3.51,3.61,5467600.0,1515970.425138632
2026-02-04,3.61,3.78,3.61,3.71,3213650.0,868554.0540540541
2026-02-05,3.78,3.78,3.65,3.69,2727440.0,735820.1438848921
2026-02-06,3.71,3.71,3.58,3.65,3606370.0,988949.7257769653
2026-02-09,3.65,3.65,3.37,3.5,4255820.0,1213636.8821292776
2026-02-10,3.43,3.53,3.4,3.5,3619270.0,1041017.2579098754
2026-02-11,3.53,3.75,3.53,3.68,3198680.0,875551.094890511
2026-02-12,3.68,3.7,3.5,3.6,2480420.0,689005.5555555555
2026-02-13,3.48,3.59,3.43,3.48,3177910.0,907974.2857142857
2026-02-16,3.47,3.47,3.36,3.38,4086440.0,1200716.9441723798
2026-02-18,3.38,3.48,3.38,3.39,1672030.0,489374.6341463415
2026-02-19,3.39,3.52,3.33,3.52,1242290.0,359389.58534233365
2026-02-20,3.52,3.52,3.41,3.45,377500.0,109104.04624277458
2026-02-23,3.45,3.5,3.41,3.45,4189490.0,1213172.7799227799
2026-02-24,3.4,3.45,3.37,3.45,913030.0,266707.8870496592
2026-02-25,3.45,3.5,3.45,3.49,3799700.0,1091867.8160919538
2026-02-26,3.48,3.54,3.45,3.5,1028080.0,294017.15919923736
2026-02-27,3.5,3.64,3.47,3.61,8120190.0,2272441.2313432833
2026-03-02,3.55,3.65,3.4,3.55,5949960.0,1683950.9433962265
2026-03-03,3.55,3.55,3.41,3.51,1552660.0,444888.25214899716
2026-03-04,3.44,3.51,3.4,3.4,1713600.0,498622.69641125115
2026-03-05,3.4,3.53,3.4,3.41,1160380.0,336667.31141199224
2026-03-06,3.5,3.59,3.42,3.5,4160620.0,1187617.5071360609
2026-03-09,3.48,3.48,3.0,3.15,4057340.0,1263968.8473520249
2026-03-10,3.23,3.4,3.2,3.38,1759730.0,528976.9539078156
2026-03-11,3.38,3.38,3.3,3.31,1486630.0,446435.43543543544
2026-03-12,3.35,3.35,3.19,3.28,893120.0,272847.25050916494
2026-03-13,3.19,3.3,3.17,3.26,1484660.0,457757.4511819116
2026-03-16,3.18,3.18,3.03,3.14,1533760.0,492115.50802139036
2026-03-17,3.14,3.2,3.03,3.19,1546620.0,492554.1401273885
2026-03-18,3.18,3.18,3.0,3.1,2086220.0,674424.5689655172
2026-03-19,3.05,3.1,2.87,2.92,2770730.0,935004.4994375703
2026-03-23,2.81,2.82,2.52,2.62,4976310.0,1875493.7185929648
2026-03-24,2.62,2.78,2.6,2.76,546860.0,201545.45454545453
2026-03-25,2.7,2.9,2.7,2.77,1490320.0,534164.8745519714
2026-03-26,2.77,2.82,2.7,2.78,1082230.0,391167.46987951815
2026-03-27,2.78,2.78,2.63,2.76,2096220.0,769725.8261933905
2026-03-30,2.75,3.0,2.75,2.95,4154970.0,1432748.275862069
2026-03-31,2.97,3.39,2.9,3.3,2605480.0,815061.5224191867
2026-04-01,3.35,3.39,3.2,3.32,2630470.0,796307.7699293643
2026-04-06,3.32,3.32,3.07,3.22,2949420.0,920734.6514047867
2026-04-07,3.21,3.21,3.09,3.21,645840.0,203735.01577287065
2026-04-08,3.27,3.4,3.27,3.34,26006590.0,7794182.8171828175
2026-04-10,3.49,3.6,3.26,3.41,3497080.0,1021542.3563777994
2026-04-13,3.41,3.41,3.3,3.41,2685280.0,796031.6205533596
2026-04-14,3.41,3.45,3.35,3.4,2028010.0,596473.5294117647
2026-04-15,3.4,3.4,3.33,3.4,1230920.0,364537.01875616977
2026-04-16,3.4,3.4,3.35,3.4,1172020.0,346409.85221674875
2026-04-17,3.4,3.52,3.39,3.44,2845950.0,824913.043478261
2026-04-20,3.5,3.73,3.46,3.64,11891350.0,3294002.7700831024
2026-04-21,3.68,3.73,3.53,3.58,3191640.0,883295.2029520295
2026-04-22,3.58,3.58,3.4,3.55,2976300.0,847948.7179487179
2026-04-23,3.55,3.6,3.46,3.57,2153500.0,607761.053621825
2026-04-24,3.56,3.63,3.45,3.46,3628890.0,1032890.8918406073
2026-04-27,3.46,3.55,3.35,3.4,2192270.0,638525.2427184465
2026-04-28,3.4,3.42,3.24,3.42,3832270.0,1140556.5476190476
2026-04-29,3.42,3.59,3.42,3.49,598970.0,171134.2857142857
2026-04-30,3.49,3.7,3.38,3.68,3041270.0,847937.7323420075
2026-05-04,3.71,4.04,3.71,3.99,21236620.0,5426734.241908006
2026-05-05,4.0,4.04,3.86,3.97,9816260.0,2480941.8702611625
2026-05-06,3.97,4.25,3.9,4.13,15433170.0,3770318.4039087943
2026-05-07,4.22,4.37,4.1,4.15,10948860.0,2602740.0950871636
2026-05-08,4.11,4.25,4.06,4.22,1846530.0,442106.14525139675
2026-05-11,4.23,4.3,4.08,4.14,4798570.0,1149817.0926517574
2026-05-12,4.22,4.22,3.89,4.07,8721330.0,2148110.8374384237
2026-05-13,4.06,4.2,3.83,4.18,23735800.0,5831891.891891891
2026-05-14,4.18,4.67,4.03,4.53,17689020.0,4011115.646258503
2026-05-15,4.53,4.6,4.37,4.51,7013180.0,1560796.7359050445
2026-05-18,4.5,4.5,4.24,4.4,5718000.0,1305479.4520547946
2026-05-19,4.4,4.5,4.3,4.36,4508330.0,1027734.8024316109
2026-05-20,4.36,4.37,4.1,4.24,4129040.0,974596.3808025178
2026-05-21,4.25,4.3,4.08,4.08,4837570.0,1164743.9807383628
2026-05-22,4.08,4.08,3.9,4.02,6420650.0,1605162.5
2026-05-25,4.15,4.15,3.93,3.97,3813970.0,949536.0995850622
2026-05-26,3.97,4.0,3.82,3.96,4599180.0,1171268.2512733445
2026-05-28,3.96,3.96,3.8,3.8,4429490.0,1149521.626297578
2026-05-29,3.82,3.95,3.78,3.84,2647010.0,686346.5859982714
2026-06-01,3.84,3.92,3.8,3.87,4090110.0,1058699.7411561692
2026-06-02,3.87,3.9,3.81,3.85,1924920.0,499546.71280276816
2026-06-03,3.83,3.84,3.7,3.75,4312580.0,1145946.8556244464
2026-06-04,3.75,3.75,3.49,3.67,5509110.0,1514879.010082493
2026-06-05,3.67,3.67,3.56,3.67,1624230.0,447035.77981651376
2026-06-08,3.65,3.65,3.37,3.47,4374790.0,1251131.55386082
2026-06-09,3.44,3.54,3.25,3.39,1904030.0,561109.0373280944
2026-06-10,3.35,3.36,3.16,3.25,6242390.0,1916803.4800409419
2026-06-11,3.16,3.25,3.14,3.25,970020.0,301873.4439834025
2026-06-15,3.3,3.37,3.22,3.31,8505160.0,2577321.212121212
2026-06-16,3.37,3.49,3.32,3.35,12038240.0,3554598.42519685
2026-06-17,3.39,3.39,3.27,3.31,2488670.0,748847.5426278836
